filename|duration|filepath
test_0001|10.00|datasets/demo/gettysburg10.wav
test_0002|10.00|datasets/demo/gettysburg10.wav
test_0003|10.00|datasets/demo/gettysburg10.wav
test_0004|10.00|datasets/demo/gettysburg10.wav
test_0005|10.00|datasets/demo/gettysburg10.wav
test_0006|10.00|datasets/demo/gettysburg10.wav
test_0007|10.00|datasets/demo/gettysburg10.wav
test_0008|10.00|datasets/demo/gettysburg10.wav
test_0009|10.00|datasets/demo/gettysburg10.wav
test_0010|10.00|datasets/demo/gettysburg10.wav
test_0011|10.00|datasets/demo/gettysburg10.wav
test_0012|10.00|datasets/demo/gettysburg10.wav
test_0013|10.00|datasets/demo/gettysburg10.wav
test_0014|10.00|datasets/demo/gettysburg10.wav
test_0015|10.00|datasets/demo/gettysburg10.wav
test_0016|10.00|datasets/demo/gettysburg10.wav
test_0017|10.00|datasets/demo/gettysburg10.wav
test_0018|10.00|datasets/demo/gettysburg10.wav
test_0019|10.00|datasets/demo/gettysburg10.wav
test_0020|10.00|datasets/demo/gettysburg10.wav
test_0021|10.00|datasets/demo/gettysburg10.wav
test_0022|10.00|datasets/demo/gettysburg10.wav
test_0023|10.00|datasets/demo/gettysburg10.wav
test_0024|10.00|datasets/demo/gettysburg10.wav
test_0025|10.00|datasets/demo/gettysburg10.wav
test_0026|10.00|datasets/demo/gettysburg10.wav
test_0027|10.00|datasets/demo/gettysburg10.wav
test_0028|10.00|datasets/demo/gettysburg10.wav
test_0029|10.00|datasets/demo/gettysburg10.wav
test_0030|10.00|datasets/demo/gettysburg10.wav
test_0031|10.00|datasets/demo/gettysburg10.wav
test_0032|10.00|datasets/demo/gettysburg10.wav
test_0033|10.00|datasets/demo/gettysburg10.wav
test_0034|10.00|datasets/demo/gettysburg10.wav
test_0035|10.00|datasets/demo/gettysburg10.wav
test_0036|10.00|datasets/demo/gettysburg10.wav
test_0037|10.00|datasets/demo/gettysburg10.wav
test_0038|10.00|datasets/demo/gettysburg10.wav
test_0039|10.00|datasets/demo/gettysburg10.wav
test_0040|10.00|datasets/demo/gettysburg10.wav
test_0041|10.00|datasets/demo/gettysburg10.wav
test_0042|10.00|datasets/demo/gettysburg10.wav
test_0043|10.00|datasets/demo/gettysburg10.wav
test_0044|10.00|datasets/demo/gettysburg10.wav
test_0045|10.00|datasets/demo/gettysburg10.wav
test_0046|10.00|datasets/demo/gettysburg10.wav
test_0047|10.00|datasets/demo/gettysburg10.wav
test_0048|10.00|datasets/demo/gettysburg10.wav
test_0049|10.00|datasets/demo/gettysburg10.wav
test_0050|10.00|datasets/demo/gettysburg10.wav
test_0051|10.00|datasets/demo/gettysburg10.wav
test_0052|10.00|datasets/demo/gettysburg10.wav
test_0053|10.00|datasets/demo/gettysburg10.wav
test_0054|10.00|datasets/demo/gettysburg10.wav
test_0055|10.00|datasets/demo/gettysburg10.wav
test_0056|10.00|datasets/demo/gettysburg10.wav
test_0057|10.00|datasets/demo/gettysburg10.wav
test_0058|10.00|datasets/demo/gettysburg10.wav
test_0059|10.00|datasets/demo/gettysburg10.wav
test_0060|10.00|datasets/demo/gettysburg10.wav
test_0061|10.00|datasets/demo/gettysburg10.wav
test_0062|10.00|datasets/demo/gettysburg10.wav
test_0063|10.00|datasets/demo/gettysburg10.wav
test_0064|10.00|datasets/demo/gettysburg10.wav
test_0065|10.00|datasets/demo/gettysburg10.wav
test_0066|10.00|datasets/demo/gettysburg10.wav
test_0067|10.00|datasets/demo/gettysburg10.wav
test_0068|10.00|datasets/demo/gettysburg10.wav
test_0069|10.00|datasets/demo/gettysburg10.wav
test_0070|10.00|datasets/demo/gettysburg10.wav
test_0071|10.00|datasets/demo/gettysburg10.wav
test_0072|10.00|datasets/demo/gettysburg10.wav
test_0073|10.00|datasets/demo/gettysburg10.wav
test_0074|10.00|datasets/demo/gettysburg10.wav
test_0075|10.00|datasets/demo/gettysburg10.wav
test_0076|10.00|datasets/demo/gettysburg10.wav
test_0077|10.00|datasets/demo/gettysburg10.wav
test_0078|10.00|datasets/demo/gettysburg10.wav
test_0079|10.00|datasets/demo/gettysburg10.wav
test_0080|10.00|datasets/demo/gettysburg10.wav
test_0081|10.00|datasets/demo/gettysburg10.wav
test_0082|10.00|datasets/demo/gettysburg10.wav
test_0083|10.00|datasets/demo/gettysburg10.wav
test_0084|10.00|datasets/demo/gettysburg10.wav
test_0085|10.00|datasets/demo/gettysburg10.wav
test_0086|10.00|datasets/demo/gettysburg10.wav
test_0087|10.00|datasets/demo/gettysburg10.wav
test_0088|10.00|datasets/demo/gettysburg10.wav
test_0089|10.00|datasets/demo/gettysburg10.wav
test_0090|10.00|datasets/demo/gettysburg10.wav
test_0091|10.00|datasets/demo/gettysburg10.wav
test_0092|10.00|datasets/demo/gettysburg10.wav
test_0093|10.00|datasets/demo/gettysburg10.wav
